num_nodes,packet_loss,run_id,converged,total_messages,true_mean,final_consensus_mean,mean_relative_error,within_5pct_of_true,remaining_mass,mass_loss_pct
4,0.05,71,True,79,63.75,63.750025358046784,3.269980736069342e-06,True,255.0,0.0
4,0.05,72,True,75,60.0,59.99999080060872,5.428139558993905e-06,True,240.0,0.0
4,0.05,73,True,89,55.75,55.75003787277545,6.912828189138767e-07,True,223.0,0.0
4,0.05,74,True,76,39.5,39.500018665444685,3.861102671207903e-06,True,158.0,0.0
4,0.05,75,True,77,56.25,56.2500023699191,5.031918827411472e-07,True,225.0,0.0
4,0.05,76,True,53,49.0,48.99993714550867,3.7065165222774766e-06,True,196.0,0.0
4,0.05,77,True,77,44.5,44.49992699145302,1.0035581763533724e-05,True,178.0,0.0
4,0.05,78,True,68,69.25,69.24948489676342,1.4066676333410159e-05,True,277.0,0.0
4,0.05,79,True,63,41.75,41.75013664384379,3.2729064380034376e-06,True,167.0,0.0
4,0.05,80,True,65,72.75,72.74982719450703,2.533310694183115e-06,True,291.0,0.0
4,0.05,81,True,133,59.25,59.24915554769603,1.425235956069216e-05,True,237.0,0.0
4,0.05,82,True,78,38.5,38.50001459208524,1.4268679161962422e-06,True,154.0,0.0
4,0.05,83,True,73,70.0,70.00002499936917,6.676823949598136e-07,True,280.0,0.0
4,0.05,84,True,69,70.25,70.2500192483229,3.046649963833866e-06,True,281.0,0.0
4,0.05,85,True,75,63.75,63.74999765898632,1.286969528419546e-07,True,255.0,0.0
4,0.05,86,True,82,62.25,62.250723271848486,1.1618824875273114e-05,True,249.0,0.0
4,0.05,87,True,76,43.0,43.00009544463655,2.7721155841104814e-06,True,172.0,0.0
4,0.05,88,True,71,69.75,69.75000410853207,2.2957728244460424e-07,True,279.0,0.0
4,0.05,89,True,102,58.75,58.74999180821667,3.883600570322821e-07,True,235.0,0.0
4,0.05,90,True,75,57.0,57.00000208374539,1.453141186016282e-07,True,228.0,0.0
4,0.05,91,True,81,37.0,37.000012795453586,5.414526448340759e-07,True,148.0,0.0
4,0.05,92,True,69,69.0,68.9999889981689,3.3038633574527515e-07,True,276.0,0.0
4,0.05,93,True,102,63.5,63.499971982229916,8.451140835470453e-07,True,254.0,0.0
4,0.05,94,True,57,58.5,58.499984866591966,8.643496168527928e-07,True,234.0,0.0
4,0.05,95,True,65,55.75,55.74994146535848,3.93035893108592e-06,True,223.0,0.0
4,0.05,96,True,69,59.0,59.00009404662828,2.110954639925103e-06,True,236.0,0.0
4,0.05,97,True,77,40.5,40.50000176572772,1.1829136272432534e-07,True,162.0,0.0
4,0.05,98,True,88,61.0,60.9997023634683,6.8377899464970785e-06,True,244.0,0.0
4,0.05,99,True,58,46.5,46.499996016629865,2.4702861397540016e-07,True,186.0,0.0
4,0.05,100,True,65,64.75,64.7499752749051,1.410752126317099e-06,True,259.0,0.0
4,0.1,1,True,65,70.5,70.50001574869043,1.6354979613004726e-06,True,282.0,0.0
4,0.1,2,True,87,63.0,62.999894117084104,2.802342241659336e-06,True,252.0,0.0
4,0.1,3,True,78,69.25,69.25330140298321,4.7673689288152816e-05,True,277.0,0.0
4,0.1,4,True,62,58.25,58.250009012046434,9.50859004100603e-07,True,233.0,0.0
4,0.1,5,True,95,49.0,49.00000224793385,1.0471158930593735e-06,True,196.0,0.0
4,0.1,6,True,98,82.5,82.49999899210778,6.715043673983184e-06,True,329.99999999999994,2.220446049250313e-14
4,0.1,7,True,85,46.0,46.00033292227293,1.0138177738167293e-05,True,184.0,0.0
4,0.1,8,True,85,50.25,50.249196736123416,1.5985350777791562e-05,True,201.0,0.0
4,0.1,9,True,75,42.25,42.250005580417714,6.555856073971871e-07,True,169.0,0.0
4,0.1,10,True,77,59.25,59.2499561933502,1.354025565350177e-06,True,237.0,0.0
4,0.1,11,True,74,50.5,50.442097458686064,0.0011465849765135185,True,202.0,0.0
4,0.1,12,True,88,58.75,58.74990529932531,1.6119263777111283e-06,True,235.0,0.0
4,0.1,13,True,82,56.0,56.001376565298116,2.4581523180617587e-05,True,224.0,0.0
4,0.1,14,True,97,71.25,71.25025415825829,3.567133449584553e-06,True,285.0,0.0
4,0.1,15,True,110,40.5,40.50041027861064,1.013033606502954e-05,True,161.99999999999994,3.3306690738754696e-14
4,0.1,16,True,103,47.25,47.25000285268857,2.3172956711880674e-07,True,189.0,0.0
4,0.1,17,True,80,24.25,24.27028815593315,0.0008366249869340495,True,97.0,0.0
4,0.1,18,True,61,76.25,76.24985567587433,1.8927754186812367e-06,True,305.0,0.0
4,0.1,19,True,95,53.5,53.50000726768452,4.09407555762316e-06,True,214.0,0.0
4,0.1,20,True,83,81.0,81.00019869402298,2.453012629477365e-06,True,324.0,0.0
4,0.1,21,True,111,56.0,56.00010440773411,7.114981817744694e-06,True,223.99999999999997,1.1102230246251565e-14
4,0.1,22,True,87,72.75,72.75002500992079,2.5085610070540578e-06,True,291.0,0.0
4,0.1,23,True,131,47.5,47.49999388899828,3.8998299229463464e-07,True,190.0,0.0
4,0.1,24,True,77,52.0,52.00018001625214,4.378880431656394e-06,True,208.0,0.0
4,0.1,25,True,113,50.0,49.99935693691678,1.5593728362546245e-05,True,200.0,0.0
4,0.1,26,True,78,52.75,52.75001798286415,3.987141520199644e-07,True,211.0,0.0
4,0.1,27,True,89,30.5,30.499653431431604,1.6262121801853706e-05,True,122.0,0.0
4,0.1,28,True,58,67.25,67.25057457373124,1.7249228351993917e-05,True,269.0,0.0
4,0.1,29,True,74,79.25,79.2499169095042,3.977522977094767e-06,True,317.0,0.0
4,0.1,30,True,109,56.25,56.250303214950705,8.127340736589557e-06,True,224.9999999999999,5.551115123125783e-14
4,0.1,31,True,65,52.0,52.00005682017556,2.2537835160203638e-06,True,208.0,0.0
4,0.1,32,True,80,36.5,36.499748296190106,6.110519069049348e-05,True,146.0,0.0
4,0.1,33,True,89,74.25,74.24947967158647,7.007790081248039e-06,True,297.0,0.0
4,0.1,34,True,115,73.25,73.25036951094901,5.044518075468125e-06,True,293.00000000000006,-2.220446049250313e-14
4,0.1,35,True,120,38.5,38.499937084248316,4.563599726478432e-06,True,154.0,0.0
4,0.1,36,True,94,48.0,47.99997365524668,1.633320511507108e-06,True,192.0,0.0
4,0.1,37,True,107,47.25,47.24995021034968,3.0646015756079703e-06,True,188.99999999999997,1.1102230246251565e-14
4,0.1,38,True,94,71.5,71.4999978559784,3.6103225062214624e-07,True,285.99999999999994,2.220446049250313e-14
4,0.1,39,True,74,87.0,87.00053407852218,6.138833588264548e-06,True,348.0,0.0
4,0.1,40,True,121,75.5,75.49999508748957,5.678797577957084e-06,True,301.99999999999994,2.220446049250313e-14
